Date,A,AA
2010-08-19,19.924688411875,10.178107995505
2010-08-20,19.938651052668,10.09217650211
2010-08-23,19.519771828872003,9.901217627897699
2010-08-24,19.100892605077,9.6052313728689
2010-08-25,19.331276178164,9.6529710914219
2010-08-26,19.205612411026,9.557491654315902
2010-08-27,19.519771828872003,9.853477909344699
2010-08-30,19.324294857768,9.786642303370401
2010-08-31,18.82862110961,9.757998472238599
2010-09-01,19.75015540196,10.044436783557
2010-09-02,20.392436878446,10.340423038586
2010-09-03,20.839241383828,10.388162757139
2010-09-07,20.238847829721,10.369066869716999
2010-09-08,20.134128023772,10.56957368764
2010-09-09,20.196959907342,10.722340787010001
2010-09-10,20.182997266548,10.665053124745999
2010-09-13,20.336586315273,10.999231154617
2010-09-14,20.36451159686,10.970587323485
2010-09-15,20.532063286378,10.913299661222
2010-09-16,20.971886471363,10.750984618141999
2010-09-17,21.32793381159,10.665053124745999
2010-09-20,21.663037190626003,10.865559942669
2010-09-21,21.746813035385,10.665053124745999
2010-09-22,21.474541539918,11.171094141408
2010-09-23,21.334915131986,11.209285916250998
2010-09-24,22.403057152665,11.648491326938
2010-09-27,22.340225269095,11.524368058701
2010-09-28,22.577590162579998,11.667587214360001
2010-09-29,22.745141852097998,11.533916002411
2010-09-30,23.296666163429,11.562559833543
2010-10-01,23.547993697705998,11.67713515807
2010-10-04,22.752123172494002,11.381148903041
2010-10-05,23.066282590341,11.591203664675
2010-10-06,22.807973735667,11.810806370019
2010-10-07,23.177983716687002,11.648491326938
2010-10-08,23.596862940482,12.307299442969999
2010-10-11,23.561956338498998,12.345491217813
2010-10-12,23.513087095722998,12.603285697999
2010-10-13,23.952910280707997,12.765600741078998
2010-10-14,23.897059717536003,12.536450092025001
2010-10-15,24.07159272745,12.536450092025001
2010-10-18,24.197256494589,12.545998035735
2010-10-19,23.750451989207,12.097244681337
2010-10-20,24.197256494589,12.364587105234001
2010-10-21,24.260088378158002,12.202272062154
2010-10-22,24.260088378158002,12.144984399889998
2010-10-25,24.364808184106998,12.29775149926
2010-10-26,24.294994980141002,12.288203555549
2010-10-27,24.148387251813002,12.125888512469
2010-10-28,24.3787708249,12.078148793915998
2010-10-29,24.294994980141002,12.545998035735
2010-11-01,24.260088378158002,12.46006654234
2010-11-02,24.476509310453,12.641477472841
2010-11-03,24.511415912436,12.574641866867001
2010-11-04,25.125772107336,13.014850029634
2010-11-05,25.398043602803,13.397639736388
2010-11-08,25.258417194871,13.359360765713001
2010-11-09,24.76972476711,13.158396169667
2010-11-10,24.616135718385,13.282802824362
2010-11-11,24.944257777024003,13.21581462568
2010-11-12,25.384080962010003,12.909582860277
2010-11-15,25.272379835664,12.823455176257
2010-11-16,24.46254666966,12.469374697510002
2010-11-17,24.581229116402003,12.38324701349
2010-11-18,25.293323796854,12.80431569092
2010-11-19,25.453894165976,12.80431569092
2010-11-22,25.328230398837,12.7181880069
2010-11-23,24.734818165127002,12.565072124198
2010-11-24,25.370118321217,12.737327492238
2010-11-26,25.377099641613,12.603351094874
2010-11-29,24.888407213852002,12.7181880069
2010-11-30,24.448584028866,12.565072124198
2010-12-01,25.216529272492,12.986140801628
2010-12-02,25.635408496287,13.483767420408
2010-12-03,26.165988846428,13.617743817772
2010-12-06,25.921642632547,13.627313560441001
2010-12-07,26.235802050394,13.541185876421
2010-12-08,26.291652613567,13.531616133752001
2010-12-09,26.563924109033998,13.541185876421
2010-12-10,26.906008808467003,13.636883303109
2010-12-13,27.017709934812004,13.742150472467001
2010-12-14,27.157336342744003,13.589034589765001
2010-12-15,26.864120886086997,13.359360765713001
2010-12-16,27.743767256058,13.837847899155
2010-12-17,28.302272887785,13.933545325844
2010-12-20,28.365104771355,14.134509921889
2010-12-21,28.504731179287,14.249346833915999
2010-12-22,28.665301548408,14.488590400637
2010-12-23,28.672282868805,14.679985254014001
2010-12-27,29.265695102515,14.574718084656999
2010-12-28,28.979460966255,14.593857569993999
2010-12-29,29.105124733393,14.479020657967999
2010-12-30,29.035311529428,14.555578599319
2010-12-31,28.923610403081998,14.727833967358
